01_prenom
pietari
pieter
pietro
pika
pilib
pinchas
ping
pino
piotr
pip
piper
pista
pisti
pitambar
pius
placid
placido
plamen
pluto
pél
pél
poldi
poldie
pollux
polydeukes
pompeo
pompey
pompiliu
poncio
pons
pontus
ponzio
porfirio
porter
poseidon
poul
prabhakar
prabhu
prabodh
pradeep
prakash
pramod
pran
pranay
pranciskis
prasad
pratap
praxis
preben
precious
prem
preston
priam
primo
prince
prometheus
prosper
prospero
proteus
prudencio
prudentius
prudenzio
przemek
przemo
przemyslaw
ptah
ptolemy
purushottam
pyotr
pyrrhus
qiu
quanah
quentin
quetzalcoatl
quim
quin
quincey
quincy
quinlan
quinn
quintin
quinton
quique
quirino
quirinus
ra
raanan
rab
raban
rabbie
rabindra
raclaw
radcliff
radclyffe
radek
radim
radimir
radko
radmilo
radomil
radomir
radoslav
radoslaw
radu
radulf
radzimierz
raeburn
rafa
rafael
rafal
rafe
raffaele
raffaello
raghnall
raghu
ragnar
ragnvald
raguel
rahul
raibeart
raiden
raimondo
raimund
raimundo
rainard
rainer
rainerio
rainier
raj
rajender
rajendra
rajesh
rajinder
rajiv
rajneesh
rajnish
rakesh
raleigh
ralf
ralph
ralphie
ram
rama
ramachander
ramachandra
ramakrishna
ramesh
rameshwar
ramiro
ramén
ramon
ramsay
ramsey
ranald
randal
randall
randell
randolf
randolph
randy
raniero
ranj
ranjeet
ranjit
ransu
ranulf
ranulph
raoul
raphaél
raphael
rasheed
rashne
rasmus
rastus
ratan
ratnam
raul
ravi
ravindra
ray
raymond
raymund
raymundo
raynard
rayner
razvan
re
read
reagan
réamann
rearden
red
redd
redmond
redmund
reed
reg
reggie
reginald
régis
reid
reijo
reimund
rein
reinaldo
reiner
reinhard
reinhold
rembrandt
rémi
remiel
remigio
remo
remus
rémy
renard
renato
renatus
renaud
rené
renzo
reto
reuben
reuel
reuven
rex
reynaldo
